ENTITY;ACCOUNT;EXERCICE;SCENARIO;PERIOD;AMOUNT
MBWAY_PAR;7062;2024;2027BUD_V1;12;2197935.00
MBWAY_LYO;7062;2024;2027BUD_V1;12;1748910.00
MBWAY_NAN;7062;2024;2027BUD_V1;12;1510769.00
MBWAY_BOR;7062;2024;2027BUD_V1;12;1240125.00
ISCOM_PAR;7062;2024;2027BUD_V1;12;2038946.00
ISCOM_LIL;7062;2024;2027BUD_V1;12;1227617.00
ISCOM_TLS;7062;2024;2027BUD_V1;12;1140192.00
IPAC_NAN;7062;2024;2027BUD_V1;12;903346.00
IPAC_REN;7062;2024;2027BUD_V1;12;692462.00
IPAC_MTP;7062;2024;2027BUD_V1;12;692462.00
TUNON_PAR;7062;2024;2027BUD_V1;12;962905.00
TUNON_LYO;7062;2024;2027BUD_V1;12;765352.00
MBWAY_PAR;7062;2025;2027BUD_V1;12;2329811.00
MBWAY_LYO;7062;2025;2027BUD_V1;12;1853844.00
MBWAY_NAN;7062;2025;2027BUD_V1;12;1601415.00
MBWAY_BOR;7062;2025;2027BUD_V1;12;1314533.00
ISCOM_PAR;7062;2025;2027BUD_V1;12;2161283.00
ISCOM_LIL;7062;2025;2027BUD_V1;12;1301274.00
ISCOM_TLS;7062;2025;2027BUD_V1;12;1208604.00
IPAC_NAN;7062;2025;2027BUD_V1;12;957547.00
IPAC_REN;7062;2025;2027BUD_V1;12;734009.00
IPAC_MTP;7062;2025;2027BUD_V1;12;734009.00
TUNON_PAR;7062;2025;2027BUD_V1;12;1020679.00
TUNON_LYO;7062;2025;2027BUD_V1;12;811274.00
MBWAY_PAR;7062;2026;2027BUD_V1;12;2469600.00
MBWAY_LYO;7062;2026;2027BUD_V1;12;1965075.00
MBWAY_NAN;7062;2026;2027BUD_V1;12;1697500.00
MBWAY_BOR;7062;2026;2027BUD_V1;12;1393405.00
ISCOM_PAR;7062;2026;2027BUD_V1;12;2290960.00
ISCOM_LIL;7062;2026;2027BUD_V1;12;1379350.00
ISCOM_TLS;7062;2026;2027BUD_V1;12;1281120.00
IPAC_NAN;7062;2026;2027BUD_V1;12;1015000.00
IPAC_REN;7062;2026;2027BUD_V1;12;778050.00
IPAC_MTP;7062;2026;2027BUD_V1;12;778050.00
TUNON_PAR;7062;2026;2027BUD_V1;12;1081920.00
TUNON_LYO;7062;2026;2027BUD_V1;12;859950.00
MBWAY_PAR;706;2024;2027BUD_V1;12;583126.00
MBWAY_LYO;706;2024;2027BUD_V1;12;462576.00
MBWAY_NAN;706;2024;2027BUD_V1;12;400498.00
MBWAY_BOR;706;2024;2027BUD_V1;12;330211.00
ISCOM_PAR;706;2024;2027BUD_V1;12;538270.00
ISCOM_LIL;706;2024;2027BUD_V1;12;327074.00
ISCOM_TLS;706;2024;2027BUD_V1;12;301175.00
MBWAY_PAR;706;2025;2027BUD_V1;12;618113.00
MBWAY_LYO;706;2025;2027BUD_V1;12;490330.00
MBWAY_NAN;706;2025;2027BUD_V1;12;424528.00
MBWAY_BOR;706;2025;2027BUD_V1;12;350024.00
ISCOM_PAR;706;2025;2027BUD_V1;12;570566.00
ISCOM_LIL;706;2025;2027BUD_V1;12;346698.00
ISCOM_TLS;706;2025;2027BUD_V1;12;319245.00
MBWAY_PAR;706;2026;2027BUD_V1;12;655200.00
MBWAY_LYO;706;2026;2027BUD_V1;12;519750.00
MBWAY_NAN;706;2026;2027BUD_V1;12;450000.00
MBWAY_BOR;706;2026;2027BUD_V1;12;371025.00
ISCOM_PAR;706;2026;2027BUD_V1;12;604800.00
ISCOM_LIL;706;2026;2027BUD_V1;12;367500.00
ISCOM_TLS;706;2026;2027BUD_V1;12;338400.00
MBWAY_PAR;708;2024;2027BUD_V1;12;12496.00
MBWAY_LYO;708;2024;2027BUD_V1;12;10573.00
MBWAY_NAN;708;2024;2027BUD_V1;12;9612.00
