ENTITY;PROGRAMME;ANNEE;MODALITE;EXERCICE;SCENARIO;PERIODE;LEADS;CAND;ADMIS;NOUVEAUX;REINSCRITS;EFFECTIF;EFFECTIF_INF;CLASSES;REVENU_ETU;FRAIS_INSC;LEADS_ORG;LEADS_PAY;DEPENSE_ACQ;DEPENSE_MARQUE
MBWAY_PAR;BAC_MGT;B1;INIT;2026;2027BUD_V1;12;646;181;130;78;0;78;0;3;8400;90;232;414;22326;21185
MBWAY_PAR;BAC_MGT;B2;ALT;2026;2027BUD_V1;12;0;0;0;0;76;76;78;3;7840;90;0;0;0;0
MBWAY_PAR;BAC_MGT;B3;ALT;2026;2027BUD_V1;12;0;0;0;0;74;74;76;3;7840;90;0;0;0;0
MBWAY_PAR;MAS_MGT;M1;ALT;2026;2027BUD_V1;12;1330;266;186;78;0;78;0;3;8400;90;479;851;45965;43615
MBWAY_PAR;MAS_MGT;M2;ALT;2026;2027BUD_V1;12;0;0;0;0;76;76;78;3;8400;90;0;0;0;0
MBWAY_LYO;BAC_MGT;B1;INIT;2026;2027BUD_V1;12;546;153;110;66;0;66;0;3;7875;90;235;311;13694;21386
MBWAY_LYO;BAC_MGT;B2;ALT;2026;2027BUD_V1;12;0;0;0;0;64;64;66;2;7350;90;0;0;0;0
MBWAY_LYO;BAC_MGT;B3;ALT;2026;2027BUD_V1;12;0;0;0;0;63;63;64;2;7350;90;0;0;0;0
MBWAY_LYO;MAS_MGT;M1;ALT;2026;2027BUD_V1;12;1120;224;157;66;0;66;0;3;7875;90;481;639;28089;43869
MBWAY_LYO;MAS_MGT;M2;ALT;2026;2027BUD_V1;12;0;0;0;0;65;65;66;3;7875;90;0;0;0;0
MBWAY_NAN;BAC_MGT;B1;INIT;2026;2027BUD_V1;12;496;139;100;60;0;60;0;2;7500;90;238;258;10317;21708
MBWAY_NAN;BAC_MGT;B2;ALT;2026;2027BUD_V1;12;0;0;0;0;58;58;60;2;7000;90;0;0;0;0
MBWAY_NAN;BAC_MGT;B3;ALT;2026;2027BUD_V1;12;0;0;0;0;57;57;58;2;7000;90;0;0;0;0
MBWAY_NAN;MAS_MGT;M1;ALT;2026;2027BUD_V1;12;1020;204;143;60;0;60;0;3;7500;90;490;530;21216;44641
MBWAY_NAN;MAS_MGT;M2;ALT;2026;2027BUD_V1;12;0;0;0;0;59;59;60;3;7500;90;0;0;0;0
MBWAY_BOR;BAC_MGT;B1;INIT;2026;2027BUD_V1;12;421;118;85;51;0;51;0;2;7275;90;206;215;8159;18797
MBWAY_BOR;BAC_MGT;B2;ALT;2026;2027BUD_V1;12;0;0;0;0;49;49;51;2;6790;90;0;0;0;0
MBWAY_BOR;BAC_MGT;B3;ALT;2026;2027BUD_V1;12;0;0;0;0;48;48;49;2;6790;90;0;0;0;0
MBWAY_BOR;MAS_MGT;M1;ALT;2026;2027BUD_V1;12;865;173;121;51;0;51;0;2;7275;90;424;441;16764;38621
MBWAY_BOR;MAS_MGT;M2;ALT;2026;2027BUD_V1;12;0;0;0;0;50;50;51;2;7275;90;0;0;0;0
ISCOM_PAR;BAC_COM;B1;INIT;2026;2027BUD_V1;12;596;167;120;72;0;72;0;3;8400;90;226;370;19954;20639
ISCOM_PAR;BAC_COM;B2;ALT;2026;2027BUD_V1;12;0;0;0;0;70;70;72;3;7840;90;0;0;0;0
ISCOM_PAR;BAC_COM;B3;ALT;2026;2027BUD_V1;12;0;0;0;0;69;69;70;3;7840;90;0;0;0;0
ISCOM_PAR;MAS_COM;M1;ALT;2026;2027BUD_V1;12;1220;244;171;72;0;72;0;3;8400;90;464;756;40846;42247
ISCOM_PAR;MAS_COM;M2;ALT;2026;2027BUD_V1;12;0;0;0;0;71;71;72;3;8400;90;0;0;0;0
ISCOM_LIL;BAC_COM;B1;INIT;2026;2027BUD_V1;12;411;115;83;50;0;50;0;2;7350;90;205;205;8220;18714
ISCOM_LIL;BAC_COM;B2;ALT;2026;2027BUD_V1;12;0;0;0;0;48;48;50;2;6860;90;0;0;0;0
ISCOM_LIL;BAC_COM;B3;ALT;2026;2027BUD_V1;12;0;0;0;0;47;47;48;2;6860;90;0;0;0;0
ISCOM_LIL;MAS_COM;M1;ALT;2026;2027BUD_V1;12;850;170;119;50;0;50;0;2;7350;90;425;425;17000;38704
ISCOM_LIL;MAS_COM;M2;ALT;2026;2027BUD_V1;12;0;0;0;0;49;49;50;2;7350;90;0;0;0;0
ISCOM_TLS;BAC_COM;B1;INIT;2026;2027BUD_V1;12;386;108;78;47;0;47;0;2;7200;90;197;189;7187;17946
ISCOM_TLS;BAC_COM;B2;ALT;2026;2027BUD_V1;12;0;0;0;0;46;46;47;2;6720;90;0;0;0;0
ISCOM_TLS;BAC_COM;B3;ALT;2026;2027BUD_V1;12;0;0;0;0;45;45;46;2;6720;90;0;0;0;0
ISCOM_TLS;MAS_COM;M1;ALT;2026;2027BUD_V1;12;800;160;112;47;0;47;0;2;7200;90;408;392;14896;37193
ISCOM_TLS;MAS_COM;M2;ALT;2026;2027BUD_V1;12;0;0;0;0;46;46;47;2;7200;90;0;0;0;0
IPAC_NAN;BAC_CCE;B1;ALT;2026;2027BUD_V1;12;850;170;119;50;0;50;0;2;7000;90;306;544;21760;27889
IPAC_NAN;BAC_CCE;B2;ALT;2026;2027BUD_V1;12;0;0;0;0;48;48;50;2;7000;90;0;0;0;0
IPAC_NAN;BAC_CCE;B3;ALT;2026;2027BUD_V1;12;0;0;0;0;47;47;48;2;7000;90;0;0;0;0
IPAC_REN;BAC_CCE;B1;ALT;2026;2027BUD_V1;12;680;136;95;40;0;40;0;2;6650;90;265;415;14933;24152
IPAC_REN;BAC_CCE;B2;ALT;2026;2027BUD_V1;12;0;0;0;0;39;39;40;2;6650;90;0;0;0;0
IPAC_REN;BAC_CCE;B3;ALT;2026;2027BUD_V1;12;0;0;0;0;38;38;39;2;6650;90;0;0;0;0
