ORDRE;BLOC_SIG;COMPTE;LIBELLE;SENS;NATURE;POOL_ALLOC
10;PRODUITS;7062;Frais de scolarite;Produit;Produit;PRODUIT
11;PRODUITS;706;Prestations de services (formation);Produit;Produit;PRODUIT
12;PRODUITS;708;Produits des activites annexes;Produit;Produit;PRODUIT
20;COUTS DIRECTS CAMPUS;6411;Enseignants permanents;Charge;Direct;PERM
21;COUTS DIRECTS CAMPUS;621;Enseignants vacataires;Charge;Direct;VAC
22;COUTS DIRECTS CAMPUS;604;Achats de prestations pedagogiques;Charge;Direct;ODIR
23;COUTS DIRECTS CAMPUS;6063;Fournitures pedagogiques;Charge;Direct;ODIR
24;COUTS DIRECTS CAMPUS;6231;Publicite et acquisition;Charge;Direct;MKT
40;CHARGES ALLOUEES - STRUCTURE CAMPUS;6413;Primes et remuneration variable;Charge;Alloue;STRUCT_CAMP
41;CHARGES ALLOUEES - STRUCTURE CAMPUS;645;Charges sociales;Charge;Alloue;STRUCT_CAMP
42;CHARGES ALLOUEES - STRUCTURE CAMPUS;613;Locations immobilieres;Charge;Alloue;STRUCT_CAMP
43;CHARGES ALLOUEES - STRUCTURE CAMPUS;615;Entretien et maintenance;Charge;Alloue;STRUCT_CAMP
44;CHARGES ALLOUEES - STRUCTURE CAMPUS;616;Assurances;Charge;Alloue;STRUCT_CAMP
45;CHARGES ALLOUEES - STRUCTURE CAMPUS;625;Deplacements et missions;Charge;Alloue;STRUCT_CAMP
46;CHARGES ALLOUEES - STRUCTURE CAMPUS;63511;Impots et taxes locaux;Charge;Alloue;STRUCT_CAMP
50;CHARGES ALLOUEES - FRAIS DE MARQUE;6236;Frais de marque (catalogues, imprimes);Charge;Alloue;FRAIS_MARQUE
60;CHARGES ALLOUEES - HOLDING ET SIEGE;6414;Indemnites et direction;Charge;Alloue;HOLDING
61;CHARGES ALLOUEES - HOLDING ET SIEGE;6226;Honoraires;Charge;Alloue;HOLDING
62;CHARGES ALLOUEES - HOLDING ET SIEGE;626;Telecom et affranchissement;Charge;Alloue;HOLDING
63;CHARGES ALLOUEES - HOLDING ET SIEGE;6281;Cotisations;Charge;Alloue;HOLDING
64;CHARGES ALLOUEES - HOLDING ET SIEGE;6331;Taxe formation continue;Charge;Alloue;HOLDING
65;CHARGES ALLOUEES - HOLDING ET SIEGE;6333;Participation formation;Charge;Alloue;HOLDING
90;AMORTISSEMENTS (sous EBITDA);6811;Dotations aux amortissements;Charge;Sous-EBITDA;AMORT
