SCENARIO;PERIODE;ENTITY;VERSION;PARAMETRE;MEASURE;KEY_ALLOC
2027BUD_V1;12;MBWAY_REF;GEN;HYP_PRICE_COEF;1,200000000;
2027BUD_V1;12;ISCOM_REF;GEN;HYP_PRICE_COEF;1,150000000;
2027BUD_V1;12;IPAC_REF;GEN;HYP_PRICE_COEF;0,950000000;
2027BUD_V1;12;TUNON_REF;GEN;HYP_PRICE_COEF;1,050000000;
2027BUD_V1;12;PIGIER_REF;GEN;HYP_PRICE_COEF;0,900000000;
2027BUD_V1;12;GRP;V03;HYP_ACQ_BUD;-0,050000000;
2027BUD_V1;12;GRP;V01;HYP_ACQ_BUD;0,080000000;
2027BUD_V1;12;GRP;V02;HYP_ACQ_BUD;0,150000000;
2027BUD_V1;12;GRP;V03;HYP_PASS_RATE;-0,010000000;
2027BUD_V1;12;GRP;V02;HYP_PASS_RATE;0,015000000;
2027BUD_V1;12;GRP;V02;HYP_PRODUCTIVITY;0,030000000;
2027BUD_V1;12;GRP;V01;HYP_CNV_LEAD_CAND;0,010000000;
2027BUD_V1;12;GRP;V02;HYP_FTE_PERM;0,030000000;
2027BUD_V1;12;GRP;V03;HYP_FTE_PERM;0,050000000;
2027BUD_V1;12;GRP;V01;HYP_PRICE;0,020000000;
2027BUD_V1;12;GRP;V02;HYP_CNV_LEAD_CAND;0,030000000;
2027BUD_V1;12;GRP;V02;HYP_BRAND_BUD;0,200000000;
2027BUD_V1;12;GRP;V03;HYP_BRAND_BUD;-0,050000000;
2027BUD_V1;12;GRP;V02;HYP_INFL_EXT;0,015000000;
2027BUD_V1;12;GRP;V03;HYP_INFL_EXT;0,030000000;
2027BUD_V1;12;GRP;V03;HYP_PRICE;0,020000000;
2027BUD_V1;12;GRP;V02;HYP_PRICE;0,035000000;
2027BUD_V1;12;GRP;V02;HYP_SALARY;0,020000000;
2027BUD_V1;12;GRP;V03;HYP_SALARY;0,030000000;
2027BUD_V1;12;GRP;V01;HYP_BRAND_BUD;0,100000000;
2027BUD_V1;12;GRP;V01;HYP_INFL_EXT;0,020000000;
2027BUD_V1;12;GRP;V01;HYP_CNV_ADM_INS;0,010000000;
2027BUD_V1;12;GRP;V01;HYP_SALARY;0,025000000;
2027BUD_V1;12;GRP;V03;HYP_STRUCT_COST;0,040000000;
2027BUD_V1;12;GRP;V01;HYP_PASS_RATE;0,005000000;
2027BUD_V1;12;GRP;V02;HYP_STRUCT_COST;-0,030000000;
2027BUD_V1;12;GRP;V01;HYP_FTE_PERM;0,040000000;
2027BUD_V1;12;GRP;V02;HYP_CNV_ADM_INS;0,025000000;
2027BUD_V1;12;GRP;V01;HYP_PRODUCTIVITY;0,010000000;
2027BUD_V1;12;GRP;V02;HYP_FILE_FEE;90,000000000;
2027BUD_V1;12;GRP;V01;HYP_FILE_FEE;90,000000000;
2027BUD_V1;12;GRP;V03;HYP_FILE_FEE;90,000000000;
2027BUD_V1;12;GRP;GEN;ALLOC_BRAND_CAMP;0,000000000;VOL_EFF
2027BUD_V1;12;GRP;GEN;ALLOC_GRP_BRAND;0,000000000;REV_CA
2027BUD_V1;12;GRP;GEN;ALLOC_CAMP_CLASS;0,000000000;VOL_CLASS
2027BUD_V1;12;GRP;GEN;TEC_EBITDA;0,150000000;
2027BUD_V1;12;GRP;GEN;TEC_PL;0,050000000;
