ENTITY;ACCOUNT;EXERCICE;SCENARIO;PERIOD;AMOUNT;USERUPD;DATEUPD;PROVENIENZA
ISCOM_LIL;6063;2024;2027BUD_V1;12;33143,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_TLS;615;2024;2027BUD_V1;12;18050,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
ISCOM_TLS;6063;2024;2027BUD_V1;12;31377,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_NAN;615;2024;2027BUD_V1;12;12033,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_NAN;6063;2024;2027BUD_V1;12;19696,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_REN;615;2024;2027BUD_V1;12;10589,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_REN;6063;2024;2027BUD_V1;12;15892,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_MTP;615;2024;2027BUD_V1;12;10589,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
IPAC_MTP;6063;2024;2027BUD_V1;12;15892,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_LYO;615;2024;2027BUD_V1;12;17970,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_LYO;6063;2024;2027BUD_V1;12;24722,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_BOR;615;2024;2027BUD_V1;12;16846,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
PIGIER_BOR;6063;2024;2027BUD_V1;12;19288,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_PAR;615;2024;2027BUD_V1;12;19494,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_PAR;6063;2024;2027BUD_V1;12;18745,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_LYO;615;2024;2027BUD_V1;12;13477,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
TUNON_LYO;6063;2024;2027BUD_V1;12;15892,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_PAR;615;2025;2027BUD_V1;12;50967,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_PAR;6063;2025;2027BUD_V1;12;54266,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
MBWAY_LYO;615;2025;2027BUD_V1;12;30538,000000000;M.PITOT;2026-08-19 15:50:47.089;QDL
