SCENARIO;PERIODE;ENTITY;CAC_MARGINAL;CROISS_LEADS;INTENSITE_MKT;CAP_EFF;CAP_MOM;CAP_POT;CAP_RETENU;BUDGET_ACQ_REF;BUDGET_ACQ_REJOUE;USERUPD;DATEUPD;PROVENIENZA
2027BUD_V1;12;MBWAY_PAR;1475,012479769;0,110736368;0,021756763;0,814980797;1,059705386;0,864730651;1,000000000;68291,000000000;68291,000000000;M.PITOT;2026-08-20 11:06:11.0;DTP_ELAB
2027BUD_V1;12;MBWAY_LYO;1101,595038605;0,118871725;0,016735257;1,091242067;1,137557694;1,124197873;1,000000000;41783,000000000;41783,000000000;M.PITOT;2026-08-20 11:06:11.0;DTP_ELAB
2027BUD_V1;12;MBWAY_NAN;963,569011650;0,123795404;0,014610109;1,247556566;1,184675440;1,287720670;1,000000000;31533,000000000;31533,000000000;M.PITOT;2026-08-20 11:06:11.0;DTP_ELAB
2027BUD_V1;12;MBWAY_BOR;889,585343433;0,126094570;0,014052130;1,351311435;1,206677603;1,338853192;1,000000000;24923,000000000;24923,000000000;M.PITOT;2026-08-20 11:06:11.0;DTP_ELAB
2027BUD_V1;12;ISCOM_PAR;1540,321235494;0,077744807;0,020902665;0,780426069;0,743988554;0,900064193;1,000000000;60800,000000000;60800,000000000;M.PITOT;2026-08-20 11:06:11.0;DTP_ELAB
2027BUD_V1;12;ISCOM_LIL;978,582537356;0,081545064;0,014363413;1,228416410;0,780355586;1,309837671;1,000000000;25220,000000000;25220,000000000;M.PITOT;2026-08-20 11:06:11.0;DTP_ELAB
2027BUD_V1;12;ISCOM_TLS;919,034906823;0,082116788;0,013564662;1,308009999;0,785826769;1,386967037;1,000000000;22083,000000000;22083,000000000;M.PITOT;2026-08-20 11:06:11.0;DTP_ELAB
2027BUD_V1;12;IPAC_NAN;1216,282964718;0,137884872;0,021343795;0,988344721;1,319506356;0,881461780;1,000000000;21760,000000000;21760,000000000;M.PITOT;2026-08-20 11:06:11.0;DTP_ELAB
2027BUD_V1;12;IPAC_REN;1040,548379667;0,144781144;0,019104458;1,155262812;1,385501084;0,984782708;1,000000000;14933,000000000;14933,000000000;M.PITOT;2026-08-20 11:06:11.0;DTP_ELAB
2027BUD_V1;12;IPAC_MTP;1033,975700607;0,144781144;0,019417898;1,162606477;1,385501084;0,968886558;1,000000000;15178,000000000;15178,000000000;M.PITOT;2026-08-20 11:06:11.0;DTP_ELAB
2027BUD_V1;12;PIGIER_LYO;1704,963778272;0,085003455;0,029279527;0,705062983;0,813451087;0,642556140;1,000000000;36612,000000000;36612,000000000;M.PITOT;2026-08-20 11:06:11.0;DTP_ELAB
2027BUD_V1;12;PIGIER_BOR;1368,076078259;0,087533156;0,024360438;0,878684209;0,837659375;0,772307126;1,000000000;21968,000000000;21968,000000000;M.PITOT;2026-08-20 11:06:11.0;DTP_ELAB
2027BUD_V1;12;TUNON_PAR;2192,892750688;0,069518716;0,027841458;0,548183146;0,665267962;0,675745507;1,000000000;30240,000000000;30240,000000000;M.PITOT;2026-08-20 11:06:11.0;DTP_ELAB
2027BUD_V1;12;TUNON_LYO;1624,661250950;0,072555205;0,021828498;0,739912302;0,694326014;0,861888887;1,000000000;18850,000000000;18850,000000000;M.PITOT;2026-08-20 11:06:11.0;DTP_ELAB
