SCENARIO;PERIODE;ENTITY;VERSION;PARAMETRE;MEASURE;KEY_ALLOC;USERUPD;DATEUPD;PROVENIENZA
2027BUD_V1;12;MBWAY_REF;GEN;HYP_PRICE_COEF;1,200000000;;H.BOUZIDI;2026-08-19 14:35:48.31;INPUT_DEFORM
2027BUD_V1;12;ISCOM_REF;GEN;HYP_PRICE_COEF;1,150000000;;H.BOUZIDI;2026-08-19 14:36:17.45;INPUT_DEFORM
2027BUD_V1;12;IPAC_REF;GEN;HYP_PRICE_COEF;0,950000000;;H.BOUZIDI;2026-08-19 14:36:17.454;INPUT_DEFORM
2027BUD_V1;12;TUNON_REF;GEN;HYP_PRICE_COEF;1,050000000;;H.BOUZIDI;2026-08-19 14:36:17.458;INPUT_DEFORM
2027BUD_V1;12;PIGIER_REF;GEN;HYP_PRICE_COEF;0,900000000;;H.BOUZIDI;2026-08-19 14:36:17.462;INPUT_DEFORM
2027BUD_V1;12;GRP;V03;HYP_ACQ_BUD;-0,050000000;;M.PITOT;2026-08-19 14:45:28.369;INPUT_DEFORM
2027BUD_V1;12;GRP;V01;HYP_ACQ_BUD;0,080000000;;M.PITOT;2026-08-19 14:45:28.374;INPUT_DEFORM
2027BUD_V1;12;GRP;V02;HYP_ACQ_BUD;0,150000000;;M.PITOT;2026-08-19 14:45:28.378;INPUT_DEFORM
2027BUD_V1;12;GRP;V03;HYP_PASS_RATE;-0,010000000;;M.PITOT;2026-08-19 14:48:02.703;INPUT_DEFORM
2027BUD_V1;12;GRP;V02;HYP_PASS_RATE;0,015000000;;M.PITOT;2026-08-19 14:48:02.707;INPUT_DEFORM
2027BUD_V1;12;GRP;V02;HYP_PRODUCTIVITY;0,030000000;;M.PITOT;2026-08-19 14:48:02.71;INPUT_DEFORM
2027BUD_V1;12;GRP;V01;HYP_CNV_LEAD_CAND;0,010000000;;M.PITOT;2026-08-19 14:48:02.714;INPUT_DEFORM
2027BUD_V1;12;GRP;V02;HYP_FTE_PERM;0,030000000;;M.PITOT;2026-08-19 14:48:02.718;INPUT_DEFORM
2027BUD_V1;12;GRP;V03;HYP_FTE_PERM;0,050000000;;M.PITOT;2026-08-19 14:48:02.721;INPUT_DEFORM
